               Model           MAE           MSE          RMSE        R2
0  Linear Regression  22273.249956  1.371056e+09  37027.772014  0.147485
1      Decision Tree  18867.846818  1.736073e+09  41666.213150 -0.079481
2      Random Forest  16299.184140  1.272071e+09  35666.109135  0.209033
3            XGBoost  17009.665126  1.449914e+09  38077.742568  0.098451
